"Chemokine","Correlation_with_F2RL1_CESC","Correlation_with_F2RL1_CHOL","Correlation_with_F2RL1_GBM","Correlation_with_F2RL1_HNSC","Correlation_with_F2RL1_LUAD","Correlation_with_F2RL1_LUSC","Correlation_with_F2RL1_STAD","Correlation_with_F2RL1_UCEC","P_value_CESC","P_value_CHOL","P_value_GBM","P_value_HNSC","P_value_LUAD","P_value_LUSC","P_value_STAD","P_value_UCEC","Significance_CESC","Significance_CHOL","Significance_GBM","Significance_HNSC","Significance_LUAD","Significance_LUSC","Significance_STAD","Significance_UCEC"
"CXCL3",0.2111,0.3127,0.0757,0.0752,-0.0184,-0.1155,0.38,0.3675,0.0004128,0.1199,0.3507,0.1054,0.7116,0.01786,1.136e-12,1.183e-17,"***","NS","NS","NS","NS","*","***","***"
"CXCL5",0.1258,0.1486,0.1141,0.1879,0.0445,-0.0921,0.1566,0.3437,0.0368,0.4686,0.159,4.535e-05,0.3699,0.05943,0.004523,1.685e-15,"*","NS","NS","***","NS","NS","**","***"
"CXCL6",-0.0025,0.2443,0.1075,0.0519,0.0446,-0.1737,0.0698,0.203,0.9674,0.229,0.1845,0.2642,0.369,0.0003481,0.2083,4.086e-06,"NS","NS","NS","NS","NS","***","NS","***"
"CXCL8",0.1798,0.4001,-0.0067,0.2014,0.0153,-0.0226,0.2299,0.4039,0.002722,0.04286,0.9339,1.203e-05,0.7579,0.6441,2.702e-05,2.564e-21,"**","*","NS","***","NS","NS","***","***"
"CXCL9",-0.257,-0.1336,0.1289,-0.0354,-0.0747,-0.146,-0.0172,-0.0092,1.537e-05,0.5153,0.111,0.4458,0.132,0.002699,0.7572,0.8357,"***","NS","NS","NS","NS","**","NS","NS"
"CXCL10",-0.1921,0.0302,0.1939,-0.0053,-0.0103,-0.1802,0.0342,0.1408,0.001338,0.8837,0.01596,0.9089,0.8353,0.000206,0.5376,0.001477,"**","NS","*","NS","NS","***","NS","**"
"CXCL11",-0.1032,0.01,0.1569,0.1397,0.0522,-0.1554,0.0585,0.1246,0.08699,0.9612,0.05202,0.002543,0.2931,0.001404,0.2914,0.004968,"NS","NS","NS","**","NS","**","NS","**"
"CXCL12",-0.0992,0.1553,0.0058,-0.0249,0.0152,-0.0054,-0.3268,-0.0166,0.1002,0.4487,0.9436,0.5917,0.7592,0.9127,1.419e-09,0.7099,"NS","NS","NS","NS","NS","NS","***","NS"
"CXCL13",-0.342,-0.1254,0.1658,-0.1925,-0.0962,-0.2679,-0.0991,0.0267,5.479e-09,0.5416,0.03991,2.927e-05,0.05224,2.455e-08,0.0734,0.5486,"***","NS","*","***","NS","***","NS","NS"
"CXCL14",0.0292,0.0913,-0.0194,0.4344,0.2762,0.2475,0.0681,0.0022,0.6291,0.6574,0.8109,8.034e-23,1.401e-08,2.78e-07,0.2193,0.9613,"NS","NS","NS","***","***","***","NS","NS"
"CXCL16",0.0538,0.4053,0.1194,-0.104,0.3145,0.0476,0.5523,0.3737,0.3734,0.03999,0.1403,0.02487,8.112e-11,0.3301,1.677e-27,3.008e-18,"NS","*","NS","*","***","NS","***","***"
"CXCL17",-0.0546,0.1578,0.0718,-0.2309,0.0177,-0.1389,0.1381,-0.038,0.3661,0.4413,0.3765,4.821e-07,0.7216,0.004344,0.01242,0.3935,"NS","NS","NS","***","NS","**","*","NS"
